stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
4798,Dirmeitai,55.012821,25.407009,,,4798,"https://www.visimarsrutai.lt/#/stop/result?stopId=4798",,,,,,,,,,
4804,Pakalniškiai,54.910478,24.834174,,,4804,"https://www.visimarsrutai.lt/#/stop/result?stopId=4804",,,,,,,,,,
4806,Tribilai,54.615764,25.597902,,,4806,"https://www.visimarsrutai.lt/#/stop/result?stopId=4806",,,,,,,,,,
4852,Dvyliškis,54.966666,25.638267,,,4852,"https://www.visimarsrutai.lt/#/stop/result?stopId=4852",,,,,,,,,,
4853,Radžiuliai,54.906934,25.323540,,,4853,"https://www.visimarsrutai.lt/#/stop/result?stopId=4853",,,,,,,,,,
4865,Pašiliai,54.843972,25.283667,,,4865,"https://www.visimarsrutai.lt/#/stop/result?stopId=4865",,,,,,,,,,
4881,"B. Vokė",54.456462,25.127946,,,4881,"https://www.visimarsrutai.lt/#/stop/result?stopId=4881",,,,,,,,,,
4899,Radžiuliai,54.906228,25.322945,,,4899,"https://www.visimarsrutai.lt/#/stop/result?stopId=4899",,,,,,,,,,
4911,"Vievio kryžkelė",54.839919,24.936577,,,4911,"https://www.visimarsrutai.lt/#/stop/result?stopId=4911",,,,,,,,,,
4914,Putiniškės,54.804317,25.159831,,,4914,"https://www.visimarsrutai.lt/#/stop/result?stopId=4914",,,,,,,,,,
4916,"Vievio kryžkelė",54.840291,24.936089,,,4916,"https://www.visimarsrutai.lt/#/stop/result?stopId=4916",,,,,,,,,,
4917,Lukšinė,54.570178,25.509652,,,4917,"https://www.visimarsrutai.lt/#/stop/result?stopId=4917",,,,,,,,,,
4918,Meškonys,54.930454,25.310567,,,4918,"https://www.visimarsrutai.lt/#/stop/result?stopId=4918",,,,,,,,,,
4941,Varniškės,54.888984,25.315286,,,4941,"https://www.visimarsrutai.lt/#/stop/result?stopId=4941",,,,,,,,,,
4961,Juodšiliai,54.579688,25.266798,,,4961,"https://www.visimarsrutai.lt/#/stop/result?stopId=4961",,,,,,,,,,
